crate/cratesio/-/syn/3.0.2, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #29877
crate/cratesio/-/sync_wrapper/1.0.2, Apache-2.0, approved, clearlydefined
crate/cratesio/-/synstructure/0.13.2, MIT, approved, clearlydefined
crate/cratesio/-/thiserror-impl/2.0.20, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #25682
crate/cratesio/-/thiserror/2.0.20, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #19424
crate/cratesio/-/thread_local/1.1.9, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30081
crate/cratesio/-/tiny-keccak/2.0.2, CC0-1.0, approved, clearlydefined
crate/cratesio/-/tinystr/0.8.2, Unicode-3.0, approved, #22554
crate/cratesio/-/tinyvec/1.10.0, Apache-2.0 AND MIT AND Zlib AND Apache-2.0 AND MIT AND Zlib, approved, #23539
crate/cratesio/-/tinyvec_macros/0.1.1, MIT OR Apache-2.0 OR Zlib, approved, clearlydefined
crate/cratesio/-/tokio-macros/2.6.0, MIT, approved, #26543
crate/cratesio/-/tokio-rustls/0.26.4, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/tokio-stream/0.1.18, MIT, approved, #30519
crate/cratesio/-/tokio-util/0.7.18, MIT, approved, #11389
crate/cratesio/-/tokio/1.50.0, MIT, approved, #26541
crate/cratesio/-/toml/1.0.6+spec-1.1.0, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/toml_datetime/1.0.0+spec-1.1.0, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #26547
crate/cratesio/-/toml_parser/1.0.9+spec-1.1.0, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #26163
crate/cratesio/-/tower-http/0.6.11, MIT AND CC0-1.0, approved, #28570
crate/cratesio/-/tower-http/0.7.1, MIT AND CC0-1.0, approved, #31086
crate/cratesio/-/tower-layer/0.3.3, MIT, approved, clearlydefined
crate/cratesio/-/tower-service/0.3.3, MIT, approved, clearlydefined
crate/cratesio/-/tower/0.5.3, MIT AND Apache-2.0, approved, #16671
crate/cratesio/-/tracing-attributes/0.1.31, MIT, approved, #22260
crate/cratesio/-/tracing-core/0.1.36, MIT, approved, #17502
crate/cratesio/-/tracing-log/0.2.0, MIT, approved, clearlydefined
crate/cratesio/-/tracing-subscriber/0.3.23, MIT AND BSD-3-Clause AND BSD-2-Clause AND LicenseRef-Public-Domain, approved, #6670
crate/cratesio/-/tracing/0.1.44, MIT, approved, #25125
crate/cratesio/-/try-lock/0.2.5, MIT, approved, clearlydefined
crate/cratesio/-/typeid/1.0.3, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #24466
crate/cratesio/-/typenum/1.19.0, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/ucd-trie/0.1.7, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/unicode-bidi/0.3.18, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/unicode-ident/1.0.22, Apache-2.0 AND MIT AND LicenseRef-unicode, approved, #4138
crate/cratesio/-/unicode-normalization/0.1.25, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/unicode-properties/0.1.4, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/unicode-segmentation/1.12.0, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/untrusted/0.9.0, ISC AND (ISC AND MIT), approved, #7111
crate/cratesio/-/url/2.5.8, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #17429
crate/cratesio/-/utf8_iter/1.0.4, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #15426
crate/cratesio/-/uuid/1.26.0, , restricted, clearlydefined
crate/cratesio/-/want/0.3.1, MIT, approved, clearlydefined
crate/cratesio/-/webpki-roots/0.26.11, CDLA-Permissive-2.0, approved, #22432
crate/cratesio/-/webpki-roots/1.0.6, LicenseRef-CDLA-Permissive-2.0, approved, #25535
crate/cratesio/-/whoami/1.6.1, Apache-2.0 OR BSL-1.0 OR MIT, approved, clearlydefined
crate/cratesio/-/winnow/0.7.15, MIT, approved, #25471
crate/cratesio/-/winnow/1.0.3, MIT, approved, #28553
crate/cratesio/-/writeable/0.6.2, Unicode-3.0, approved, #22550
crate/cratesio/-/yaml-rust2/0.11.0, (Apache-2.0 AND MIT), approved, #31084
crate/cratesio/-/yoke-derive/0.8.1, Unicode-3.0, approved, #22553
crate/cratesio/-/yoke/0.8.1, Unicode-3.0, approved, #22547
crate/cratesio/-/zerocopy/0.8.39, Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND MIT AND (Apache-2.0 AND BSD-3-Clause AND MIT) AND (Apache-2.0 AND BSD-2-Clause AND MIT) AND Apache-2.0 AND BSD-2-Clause AND MIT, approved, #20054
crate/cratesio/-/zerofrom-derive/0.1.6, Apache-2.0 AND Unicode-3.0, approved, #15438
crate/cratesio/-/zerofrom/0.1.6, Apache-2.0 AND Unicode-3.0, approved, #15435
crate/cratesio/-/zeroize/1.8.2, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/zerotrie/0.2.3, Unicode-3.0, approved, #22561
crate/cratesio/-/zerovec-derive/0.11.2, Unicode-3.0, approved, #22552
crate/cratesio/-/zerovec/0.11.5, Unicode-3.0, approved, #22560
crate/cratesio/-/zmij/1.0.19, MIT, approved, #25540
